"","latitude","longitude","tot.catch","log.1.p.tot.catch"
"1",40.55,-71.55,0,0
"2",40.46667,-71.51667,0,0
"3",40.51667,-71.71667,0,0
"4",40.38333,-71.85,1,0.693147180559945
"5",40.31667,-71.78333,0,0
"6",40.26667,-71.88333,0,0
"7",40.13333,-72.08333,2,1.09861228866811
"8",40.06667,-72.16667,0,0
"9",40.1,-72.31667,7,2.07944154167984
"10",40.01667,-72.4,13,2.63905732961526
"11",39.9,-72.56667,530,6.27476202124194
"12",39.81667,-72.48333,2750,7.91971976092457
"13",39.85,-72.58333,2060,7.63094658089046
"14",39.81667,-72.68333,1016,6.92461239604856
"15",39.76667,-72.73333,1206,7.09589322109753
"16",39.68333,-72.61667,30,3.43398720448515
"17",39.58333,-72.65,110,4.70953020131233
"18",39.5,-72.53333,0,0
"19",39.43333,-72.63333,0,0
"20",39.46667,-72.66667,722,6.58340922215876
"21",39.43333,-72.73333,41,3.73766961828337
"22",39.4,-72.8,39,3.68887945411394
"23",39.31667,-72.73333,0,0
"24",39.33333,-72.85,94,4.55387689160054
"25",39.26667,-72.81667,7,2.07944154167984
"26",39.21667,-72.78333,0,0
"27",38.96667,-72.98333,0,0
"28",38.86667,-73.18333,33,3.52636052461616
"29",38.76667,-73.18333,0,0
"30",38.65,-73.25,0,0
"31",38.6,-73.38333,1,0.693147180559945
"32",38.68333,-73.61667,344,5.84354441703136
"33",38.65,-73.53333,942,6.84906628263346
"34",38.73333,-73.51667,758,6.63200177739563
"35",38.76667,-73.6,83,4.43081679884331
"36",38.81667,-73.7,60,4.11087386417331
"37",38.93333,-73.51667,27,3.3322045101752
"38",38.88333,-73.43333,119,4.78749174278205
"39",38.85,-73.35,482,6.18001665365257
"40",38.93333,-73.28333,151,5.02388052084628
"41",39.01667,-73.48333,20,3.04452243772342
"42",39.15,-73.55,16,2.83321334405622
"43",39.13333,-73.45,26,3.29583686600433
"44",39.23333,-73.31667,18,2.94443897916644
"45",39.3,-73.31667,30,3.43398720448515
"46",39.33333,-73.21667,55,4.02535169073515
"47",39.21667,-73.13333,86,4.46590811865458
"48",39.13333,-73.15,1336,7.19818357710194
"49",39.1,-73.18333,239,5.48063892334199
"50",39.01667,-73.15,459,6.13122648948314
"51",39.06667,-73.08333,229,5.4380793089232
"52",39.18333,-73.1,105,4.66343909411207
"53",39.28333,-72.98333,557,6.32435896238131
"54",39.31667,-72.93333,5056,8.52852870107998
"55",39.38333,-72.91667,2500,7.82444593087762
"56",39.38333,-73.11667,264,5.57972982598622
"57",39.51667,-73.11667,10,2.39789527279837
"58",39.51667,-73.15,8,2.19722457733622
"59",39.65,-73.06667,28,3.36729582998647
"60",39.65,-72.98333,46,3.85014760171006
"61",39.55,-72.96667,370,5.91620206260743
"62",39.6,-72.88333,316,5.75890177387728
"63",39.51667,-72.88333,970,6.87832646829133
"64",39.48333,-72.85,476,6.16751649088834
"65",39.5,-72.73333,7084,8.86573515212478
"66",39.55,-72.8,3246,8.08548677210285
"67",39.63333,-72.76667,322,5.77765232322266
"68",39.71667,-72.85,0,0
"69",39.8,-72.95,0,0
"70",39.71667,-73,16,2.83321334405622
